Zone,Foot,Keeper,Goal
7,R,R,1
9,R,C,1
6,R,L,1
2,R,C,1
9,R,L,1
4,R,L,0
8,L,L,0
3,R,R,1
9,R,L,1
9,R,C,1
7,R,L,0
9,R,C,1
4,R,L,0
2,R,R,1
6,R,R,1
6,R,R,1
8,R,L,1
9,L,R,1
4,L,R,1
1,R,R,0
7,R,L,0
7,R,R,1
1,L,R,1
6,L,L,1
8,L,L,1
8,R,L,0
7,R,L,1
7,R,L,0
4,R,L,1
7,R,R,1
9,R,L,1
7,R,L,0
4,R,R,1
1,R,L,1
7,R,R,1
1,R,L,1
5,L,R,1
1,R,R,1
5,R,L,1
3,L,R,1
2,L,R,1
9,R,R,1
9,R,L,1
4,L,L,1
7,L,R,1
1,R,L,1
8,L,L,1
7,R,L,0
6,R,l,1
6,R,L,1
1,R,R,0
1,R,R,1
4,R,R,1
7,L,L,0
7,L,R,1
3,R,L,0
7,R,L,0
7,R,C,1
6,R,R,0
8,R,R,1
5,R,L,1
4,R,L,1
8,R,R,1
4,L,L,1
9,R,L,1
6,R,R,0
7,L,R,1
9,L,R,0
7,R,R,1
7,R,L,1
6,R,R,1
4,R,L,1
1,R,L,0
6,R,R,1
8,L,L,0
6,R,R,1
1,L,L,0
2,L,R,0
4,L,l,0
9,R,R,0
2,R,R,1
7,R,L,0
1,R,L,1
9,R,C,1
3,R,R,1
2,R,R,0
9,R,R,1
6,R,R,1
9,L,L,1
7,R,C,1
4,R,R,1
7,R,R,1
5,R,R,0
2,R,L,1
4,R,R,1
9,R,L,1
9,R,R,0
2,R,R,0
4,R,L,0
4,R,R,1
4,R,C,1
5,L,L,1
9,L,L,1
6,R,R,0
6,R,L,1
2,R,C,0
9,L,R,1
1,R,L,1
6,R,R,0
6,R,R,0
1,R,L,1
1,R,L,1
7,R,L,1
1,R,R,1
9,R,C,1
5,R,L,0
7,R,R,1
9,R,C,1
7,L,L,0
7,R,L,0
7,R,R,1
4,R,L,1
9,R,R,1
3,L,R,1
5,R,R,1
2,R,R,0
2,R,R,1
4,L,L,1
6,L,L,1
9,R,R,1
5,R,R,1
6,L,R,0
1,R,L,1
7,R,L,0
2,R,R,1
4,R,R,1
2,R,R,0
6,R,C,1
5,R,C,0
9,L,C,0
6,L,R,0
7,R,R,0
3,R,C,1
8,R,L,1
9,R,R,1
5,R,R,1
6,R,C,1
7,R,R,1
6,R,L,1
3,R,C,1
8,R,L,1
5,R,C,0
3,R,L,1
7,R,L,0
7,L,L,0
5,R,L,1
1,R,L,0
6,R,L,1
2,R,R,0
7,R,R,1
6,R,R,1
1,R,L,1
4,R,C,1
9,R,R,0
9,L,L,1
7,R,L,1
9,R,L,1
9,L,R,0
7,R,L,1
8,R,C,0
4,L,R,0
7,R,L,1
7,R,L,0
5,R,R,0
4,R,C,1
7,R,L,0
6,R,L,1
2,R,L,1
9,R,L,1
9,L,R,1
1,R,R,0
1,R,L,1
7,L,R,1
4,R,R,1
3,R,L,1
3,L,L,1
7,R,L,1
6,R,L,1
9,R,R,1
4,R,L,1
9,R,L,1
1,R,L,0
2,R,L,1
8,L,R,1
7,L,R,1
6,R,L,1
3,R,R,1
1,R,L,1
1,R,L,1
8,R,C,1
8,R,R,0
2,R,L,0
9,R,R,0
5,L,L,1
4,R,R,1
5,R,C,0
7,R,C,0
7,R,L,0
6,L,R,1
3,R,C,1
8,L,R,0
8,R,R,1
7,R,C,1
6,R,R,0
2,R,L,1
4,L,C,1
3,L,L,1
9,R,L,1
5,R,L,1
3,L,R,1
7,L,C,1
4,R,L,0
1,R,L,1
9,R,R,1
9,L,R,1
9,L,R,0
1,L,R,1
6,R,R,1
4,R,R,1
1,R,L,1
7,R,L,1
9,R,R,0
9,R,R,0
4,L,C,1
9,L,L,1
2,R,L,1
4,R,L,0
7,R,L,1
9,R,L,1
4,R,L,1
6,R,C,1
4,R,L,1
7,R,R,1
6,R,L,1
7,R,L,0
7,R,L,1
4,R,R,1
8,L,L,1
8,L,L,0
7,R,L,0
7,R,L,0
3,R,C,1
7,R,C,1
7,R,R,1
8,R,R,1
4,R,L,0
7,L,L,0
8,R,R,0
7,R,C,1
5,R,L,1
7,R,L,1
1,R,L,1
7,R,L,1
9,R,L,1
9,R,R,0
3,R,R,0
1,R,L,1
4,R,L,0
7,R,L,1
5,R,C,0
6,R,R,1
9,R,C,1
9,R,R,0
7,R,C,0
7,R,L,1
7,R,R,1
4,R,R,1
7,R,R,1
7,R,R,1
