Zone,Foot,Keeper,Goal
7,9,9,1
9,9,5,1
6,9,1,1
2,9,5,1
9,9,1,1
4,9,1,0
8,1,1,0
3,9,9,1
9,9,1,1
9,9,5,1
7,9,1,0
9,9,5,1
4,9,1,0
2,9,9,1
6,9,9,1
6,9,9,1
8,9,1,1
9,1,9,1
4,1,9,1
1,9,9,0
7,9,1,0
7,9,9,1
1,1,9,1
6,1,1,1
8,1,1,1
8,9,1,0
7,9,1,1
7,9,1,0
4,9,1,1
7,9,9,1
9,9,1,1
7,9,1,0
4,9,9,1
1,9,1,1
7,9,9,1
1,9,1,1
5,1,9,1
1,9,9,1
5,9,1,1
3,1,9,1
2,1,9,1
9,9,9,1
9,9,1,1
4,1,1,1
7,1,9,1
1,9,1,1
8,1,1,1
7,9,1,0
6,9,1,1
6,9,1,1
1,9,9,0
1,9,9,1
4,9,9,1
7,1,1,0
7,1,9,1
3,9,1,0
7,9,1,0
7,9,5,1
6,9,9,0
8,9,9,1
5,9,1,1
4,9,1,1
8,9,9,1
4,1,1,1
9,9,1,1
6,9,9,0
7,1,9,1
9,1,9,0
7,9,9,1
7,9,1,1
6,9,9,1
4,9,1,1
1,9,1,0
6,9,9,1
8,1,1,0
6,9,9,1
1,1,1,0
2,1,9,0
4,1,1,0
9,9,9,0
2,9,9,1
7,9,1,0
1,9,1,1
9,9,5,1
3,9,9,1
2,9,9,0
9,9,9,1
6,9,9,1
9,1,1,1
7,9,5,1
4,9,9,1
7,9,9,1
5,9,9,0
2,9,1,1
4,9,9,1
9,9,1,1
9,9,9,0
2,9,9,0
4,9,1,0
4,9,9,1
4,9,5,1
5,1,1,1
9,1,1,1
6,9,9,0
6,9,1,1
2,9,5,0
9,1,9,1
1,9,1,1
6,9,9,0
6,9,9,0
1,9,1,1
1,9,1,1
7,9,1,1
1,9,9,1
9,9,5,1
5,9,1,0
7,9,9,1
9,9,5,1
7,1,1,0
7,9,1,0
7,9,9,1
4,9,1,1
9,9,9,1
3,1,9,1
5,9,9,1
2,9,9,0
2,9,9,1
4,1,1,1
6,1,1,1
9,9,9,1
5,9,9,1
6,1,9,0
1,9,1,1
7,9,1,0
2,9,9,1
4,9,9,1
2,9,9,0
6,9,5,1
5,9,5,0
9,1,5,0
6,1,9,0
7,9,9,0
3,9,5,1
8,9,1,1
9,9,9,1
5,9,9,1
6,9,5,1
7,9,9,1
6,9,1,1
3,9,5,1
8,9,1,1
5,9,5,0
3,9,1,1
7,9,1,0
7,1,1,0
5,9,1,1
1,9,1,0
6,9,1,1
2,9,9,0
7,9,9,1
6,9,9,1
1,9,1,1
4,9,5,1
9,9,9,0
9,1,1,1
7,9,1,1
9,9,1,1
9,1,9,0
7,9,1,1
8,9,5,0
4,1,9,0
7,9,1,1
7,9,1,0
5,9,9,0
4,9,5,1
7,9,1,0
6,9,1,1
2,9,1,1
9,9,1,1
9,1,9,1
1,9,9,0
1,9,1,1
7,1,9,1
4,9,9,1
3,9,1,1
3,1,1,1
7,9,1,1
6,9,1,1
9,9,9,1
4,9,1,1
9,9,1,1
1,9,1,0
2,9,1,1
8,1,9,1
7,1,9,1
6,9,1,1
3,9,9,1
1,9,1,1
1,9,1,1
8,9,5,1
8,9,9,0
2,9,1,0
9,9,9,0
5,1,1,1
4,9,9,1
5,9,5,0
7,9,5,0
7,9,1,0
6,1,9,1
3,9,5,1
8,1,9,0
8,9,9,1
7,9,5,1
6,9,9,0
2,9,1,1
4,1,5,1
3,1,1,1
9,9,1,1
5,9,1,1
3,1,9,1
7,1,5,1
4,9,1,0
1,9,1,1
9,9,9,1
9,1,9,1
9,1,9,0
1,1,9,1
6,9,9,1
4,9,9,1
1,9,1,1
7,9,1,1
9,9,9,0
9,9,9,0
4,1,5,1
9,1,1,1
2,9,1,1
4,9,1,0
7,9,1,1
9,9,1,1
4,9,1,1
6,9,5,1
4,9,1,1
7,9,9,1
6,9,1,1
7,9,1,0
7,9,1,1
4,9,9,1
8,1,1,1
8,1,1,0
7,9,1,0
7,9,1,0
3,9,5,1
7,9,5,1
7,9,9,1
8,9,9,1
4,9,1,0
7,1,1,0
8,9,9,0
7,9,5,1
5,9,1,1
7,9,1,1
1,9,1,1
7,9,1,1
9,9,1,1
9,9,9,0
3,9,9,0
1,9,1,1
4,9,1,0
7,9,1,1
5,9,5,0
6,9,9,1
9,9,5,1
9,9,9,0
7,9,5,0
7,9,1,1
7,9,9,1
4,9,9,1
7,9,9,1
7,9,9,1
